POS,First Name,Last Name,Nation,YOB,Start No.,Swim,T1,Bike,T2,Run,Time,Gender
49,Lars,Holenweger,SUI,1998,52,00:09:25,00:01:03,00:30:58,00:00:23,00:18:05,00:59:55,Male
DNS,Jorik,Van Egdom,NED,1995,51,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,Male
1,Alex,Yee,GBR,1998,2,00:09:20,00:01:14,00:27:33,00:00:23,00:14:26,00:52:53,Male
2,Vasco,Vilaca,POR,1999,8,00:09:17,00:01:14,00:27:35,00:00:22,00:14:32,00:52:59,Male
3,Manoel,Messias,BRA,1996,12,00:09:40,00:01:14,00:27:15,00:00:27,00:14:32,00:53:06,Male
4,Vincent,Luis,FRA,1989,5,00:08:57,00:01:15,00:27:54,00:00:22,00:14:45,00:53:11,Male
5,Dorian,Coninx,FRA,1994,23,00:08:59,00:01:14,00:27:53,00:00:22,00:14:48,00:53:14,Male
6,Léo,Bergere,FRA,1996,1,00:09:21,00:01:16,00:27:28,00:00:21,00:14:51,00:53:15,Male
7,Roberto,Sanchez Mantecon,ESP,1996,18,00:09:26,00:01:16,00:27:23,00:00:23,00:14:52,00:53:18,Male
8,Matthew,McElroy,USA,1992,17,00:09:31,00:01:13,00:27:23,00:00:22,00:14:52,00:53:19,Male
9,Max,Studer,SUI,1996,54,00:09:32,00:01:16,00:27:22,00:00:21,00:14:51,00:53:20,Male
10,Adrien,Briffod,SUI,1994,32,00:09:30,00:01:14,00:27:25,00:00:21,00:14:57,00:53:24,Male
11,Antonio,Serrat Seoane,ESP,1995,7,00:09:22,00:01:16,00:27:32,00:00:24,00:14:57,00:53:28,Male
12,Tyler,Mislawchuk,CAN,1994,36,00:09:15,00:01:14,00:27:38,00:00:22,00:15:05,00:53:32,Male
13,Gábor,Faldum,HUN,1988,25,00:09:19,00:01:17,00:27:30,00:00:20,00:15:09,00:53:34,Male
14,Richard,Murray,NED,1989,27,00:09:34,00:01:16,00:27:15,00:00:24,00:15:08,00:53:36,Male
15,Barclay,Izzard,GBR,1998,52,00:09:29,00:01:14,00:27:26,00:00:19,00:15:11,00:53:37,Male
16,Miguel,Hidalgo,BRA,2000,24,00:09:04,00:01:18,00:27:46,00:00:23,00:15:10,00:53:39,Male
17,Sylvain,Fridelance,SUI,1995,20,00:09:22,00:01:16,00:27:32,00:00:23,00:15:10,00:53:41,Male
18,Matthew,Hauser,AUS,1998,6,00:09:06,00:01:14,00:27:47,00:00:22,00:15:16,00:53:42,Male
19,Kenji,Nener,JPN,1993,14,00:09:07,00:01:14,00:27:47,00:00:23,00:15:14,00:53:43,Male
20,Jamie,Riddle,RSA,2000,34,00:09:00,00:01:14,00:27:51,00:00:22,00:15:20,00:53:46,Male
21,Lasse Nygaard,Priester,GER,1995,15,00:09:12,00:01:12,00:27:44,00:00:25,00:15:18,00:53:49,Male
22,Brandon,Copeland,AUS,1996,31,00:09:27,00:01:14,00:27:24,00:00:19,00:15:30,00:53:51,Male
23,Joao,Pereira,POR,1987,46,00:09:22,00:01:16,00:27:32,00:00:21,00:15:25,00:53:53,Male
24,Michele,Sarzilla,ITA,1988,16,00:09:15,00:01:17,00:27:35,00:00:22,00:15:26,00:53:54,Male
25,David,Castro Fajardo,ESP,1993,38,00:09:01,00:01:15,00:27:52,00:00:23,00:15:26,00:53:55,Male
26,Ren,Sato,JPN,1995,39,00:09:30,00:01:17,00:27:20,00:00:20,00:15:31,00:53:56,Male
27,Alberto,Gonzalez Garcia,ESP,1998,55,00:09:11,00:01:13,00:27:45,00:00:20,00:15:30,00:53:57,Male
28,Makoto,Odakura,JPN,1993,35,00:09:35,00:01:19,00:27:13,00:00:24,00:15:29,00:53:57,Male
29,Jannik,Schaufler,GER,1997,57,00:09:17,00:01:18,00:27:33,00:00:21,00:15:32,00:53:58,Male
30,Kyle,Smith,NZL,1997,61,00:09:19,00:01:15,00:27:31,00:00:19,00:15:36,00:53:59,Male
31,Aram Michell,Peñaflor Moysen,MEX,1999,56,00:09:35,00:01:14,00:27:21,00:00:28,00:15:22,00:53:59,Male
32,Vetle Bergsvik,Thorn,NOR,1999,22,00:09:17,00:01:18,00:27:34,00:00:25,00:15:26,00:53:59,Male
33,Ricardo,Batista,POR,2000,37,00:09:15,00:01:16,00:27:35,00:00:22,00:15:36,00:54:02,Male
34,Takumi,Hojo,JPN,1996,30,00:09:21,00:01:18,00:27:28,00:00:23,00:15:37,00:54:05,Male
35,Shachar,Sagiv,ISR,1994,28,00:09:33,00:01:14,00:27:18,00:00:19,00:15:52,00:54:14,Male
36,Henri,Schoeman,RSA,1991,50,00:09:02,00:01:15,00:27:52,00:00:21,00:15:58,00:54:26,Male
37,Jelle,Geens,BEL,1993,4,00:09:33,00:01:13,00:27:19,00:00:20,00:16:13,00:54:36,Male
38,Márk,Dévay,HUN,1996,19,00:08:59,00:01:18,00:27:48,00:00:24,00:16:12,00:54:40,Male
39,Luke,Willian,AUS,1996,42,00:09:33,00:01:18,00:27:18,00:00:24,00:16:11,00:54:41,Male
40,Valentin,Wernz,GER,1995,48,00:09:18,00:01:18,00:27:35,00:00:25,00:16:09,00:54:42,Male
41,Stefan,Zachäus,LUX,1990,59,00:09:19,00:01:17,00:27:32,00:00:22,00:16:23,00:54:51,Male
42,Alois,Knabl,AUT,1992,44,00:09:07,00:01:16,00:27:47,00:00:25,00:16:24,00:54:57,Male
43,Bence,Bicsák,HUN,1995,11,00:09:15,00:01:19,00:28:17,00:00:23,00:15:46,00:54:57,Male
44,Leon,Pauger,AUT,1998,49,00:09:15,00:01:15,00:27:37,00:00:23,00:16:38,00:55:05,Male
45,Alessio,Crociani,ITA,2001,58,00:08:59,00:01:16,00:27:57,00:00:20,00:16:42,00:55:11,Male
46,Hayden,Wilde,NZL,1997,3,00:09:39,00:01:12,00:29:31,00:00:23,00:14:42,00:55:24,Male
47,Jonas,Schomburg,GER,1994,21,00:09:08,00:01:12,00:27:47,00:00:27,00:17:02,00:55:34,Male
48,Jumpei,Furuya,JPN,1991,45,00:09:19,00:01:16,00:27:34,00:00:29,00:17:01,00:55:37,Male
49,Johannes,Vogel,GER,1996,47,00:09:09,00:01:16,00:27:44,00:00:23,00:17:14,00:55:44,Male
50,Noah,Servais,BEL,1997,43,00:09:29,00:01:20,00:27:21,00:00:23,00:17:25,00:55:56,Male
1,Cassandre,Beaugrand,FRA,1997,18,00:09:09,00:01:11,00:32:13,00:00:22,00:16:10,00:59:03,Female
2,Georgia,Taylor-Brown,GBR,1994,1,00:09:18,00:01:13,00:32:00,00:00:23,00:16:21,00:59:12,Female
3,Sophie,Coldwell,GBR,1995,15,00:09:14,00:01:07,00:31:34,00:00:21,00:17:01,00:59:15,Female
4,Taylor,Spivey,USA,1991,12,00:09:12,00:01:10,00:31:33,00:00:21,00:17:08,00:59:22,Female
5,Beth,Potter,GBR,1991,10,00:09:19,00:01:10,00:32:04,00:00:21,00:16:29,00:59:22,Female
6,Laura,Lindemann,GER,1996,8,00:09:15,00:01:09,00:32:08,00:00:22,00:16:47,00:59:39,Female
7,Flora,Duffy,BER,1987,2,00:09:11,00:01:08,00:32:14,00:00:24,00:16:51,00:59:44,Female
8,Anabel,Knoll,GER,1996,9,00:09:35,00:01:11,00:31:45,00:00:23,00:16:56,00:59:48,Female
9,Julie,Derron,SUI,1996,42,00:09:47,00:01:09,00:31:37,00:00:26,00:17:03,00:59:59,Female
10,Miriam,Casillas García,ESP,1992,24,00:09:45,00:01:06,00:31:44,00:00:22,00:17:05,00:59:59,Female
11,Natalie,Van Coevorden,AUS,1992,16,00:09:18,00:01:14,00:32:02,00:00:23,00:17:06,01:00:02,Female
12,Kirsten,Kasper,USA,1991,6,00:09:20,00:01:08,00:32:04,00:00:22,00:17:11,01:00:03,Female
13,Verena,Steinhauser,ITA,1994,19,00:09:42,00:01:11,00:31:40,00:00:23,00:17:12,01:00:05,Female
14,Rachel,Klamer,NED,1990,22,00:09:27,00:01:12,00:31:54,00:00:21,00:17:20,01:00:12,Female
15,Sian,Rainsley,GBR,1997,4,00:09:14,00:01:15,00:32:06,00:00:21,00:17:21,01:00:16,Female
16,Ilaria,Zane,ITA,1992,49,00:09:37,00:01:09,00:31:50,00:00:22,00:17:26,01:00:21,Female
17,Petra,Kurikova,CZE,1991,56,00:09:22,00:01:10,00:32:20,00:00:23,00:17:15,01:00:28,Female
18,Maya,Kingma,NED,1995,17,00:09:20,00:01:13,00:31:58,00:00:20,00:17:46,01:00:35,Female
19,Lotte,Miller,NOR,1996,54,00:09:34,00:01:23,00:31:34,00:00:24,00:17:49,01:00:41,Female
20,Melanie,Santos,POR,1995,36,00:09:22,00:01:07,00:32:05,00:00:22,00:17:54,01:00:48,Female
21,Lisa,Tertsch,GER,1998,25,00:09:36,00:01:08,00:32:41,00:00:21,00:17:13,01:00:57,Female
22,Audrey,Merle,FRA,1995,27,00:09:35,00:01:12,00:32:45,00:00:22,00:17:07,01:00:59,Female
23,Vittoria,Lopes,BRA,1996,47,00:09:13,00:01:11,00:32:10,00:00:25,00:18:02,01:01:00,Female
24,Kira,Hedgeland,AUS,1998,30,00:09:24,00:01:13,00:32:39,00:00:26,00:17:26,01:01:06,Female
25,Nina,Eim,GER,1998,29,00:09:44,00:01:14,00:32:50,00:00:24,00:17:02,01:01:12,Female
26,Erika,Ackerlund,USA,1996,5,00:09:33,00:01:09,00:32:43,00:00:23,00:17:29,01:01:15,Female
27,Carlotta,Missaglia,ITA,1999,50,00:09:56,00:01:08,00:32:43,00:00:21,00:17:16,01:01:21,Female
28,Jaz,Hedgeland,AUS,1995,37,00:09:45,00:01:12,00:32:56,00:00:24,00:17:13,01:01:29,Female
29,Kate,Waugh,GBR,1999,23,00:09:38,00:01:10,00:32:37,00:00:23,00:17:43,01:01:30,Female
30,Lisa,Perterer,AUT,1991,46,00:10:00,00:01:13,00:32:35,00:00:22,00:17:23,01:01:31,Female
31,Edda,Hannesdottir,ISL,1994,58,00:09:45,00:01:19,00:32:46,00:00:20,00:17:30,01:01:38,Female
32,Jolien,Vermeylen,BEL,1994,57,00:09:14,00:01:12,00:33:02,00:00:23,00:17:53,01:01:43,Female
33,Djenyfer,Arnold,BRA,1993,28,00:09:17,00:01:18,00:33:16,00:00:25,00:17:31,01:01:45,Female
34,Julia,Hauser,AUT,1994,20,00:09:45,00:01:15,00:32:50,00:00:23,00:17:42,01:01:54,Female
35,Emma,Jackson,AUS,1991,38,00:09:19,00:01:22,00:32:47,00:00:25,00:18:09,01:02:00,Female
36,Yuko,Takahashi,JPN,1991,26,00:09:28,00:01:21,00:33:02,00:00:22,00:17:51,01:02:02,Female
37,Simone,Ackermann,RSA,1990,43,00:09:18,00:01:08,00:33:02,00:00:24,00:18:19,01:02:08,Female
38,Maria,Tomé,POR,2001,39,00:09:35,00:01:17,00:33:00,00:00:24,00:17:58,01:02:13,Female
39,Sarika,Nakayama,JPN,2000,35,00:09:33,00:01:15,00:32:41,00:00:22,00:18:28,01:02:18,Female
40,Sophie,Linn,AUS,1995,53,00:09:44,00:01:10,00:32:56,00:00:28,00:18:04,01:02:21,Female
41,Andrea,Hansen,NZL,1982,55,00:10:00,00:01:12,00:32:37,00:00:26,00:18:08,01:02:21,Female
42,Alberte,Kjær Pedersen,DEN,1998,21,00:09:29,00:01:08,00:34:27,00:00:22,00:16:58,01:02:22,Female
43,Solveig,Løvseth,NOR,1999,33,00:10:03,00:01:16,00:32:27,00:00:38,00:18:11,01:02:33,Female
44,Valerie,Barthelemy,BEL,1991,32,00:09:16,00:01:14,00:32:58,00:00:27,00:18:53,01:02:45,Female
45,Barbara,De Koning,NED,2002,34,00:09:41,00:01:12,00:32:57,00:00:28,00:18:47,01:03:04,Female
46,Summer,Rappaport,USA,1991,7,00:09:20,00:01:15,00:34:33,00:00:24,00:18:07,01:03:37,Female
47,Shanae,Williams,RSA,1998,40,00:09:51,00:01:11,00:34:55,00:00:29,00:17:34,01:03:57,Female
48,Tereza,Zimovjanova,CZE,1995,52,00:09:47,00:01:07,00:32:32,00:00:22,00:20:12,01:03:58,Female
49,Nora,Gmür,SUI,2001,41,00:10:02,00:01:07,00:34:46,00:00:23,00:18:00,01:04:16,Female
50,Ekaterina,Shabalina,KAZ,1998,45,00:09:48,00:01:14,00:34:54,00:00:24,00:18:14,01:04:32,Female
1,Hayden,Wilde,NZL,1997,4,00:08:58,00:01:04,00:28:45,00:00:23,00:14:11,00:53:18,Male
2,Léo,Bergere,FRA,1996,1,00:08:44,00:01:06,00:28:28,00:00:19,00:14:52,00:53:28,Male
3,Lasse,Lührs,GER,1996,28,00:08:51,00:01:03,00:28:53,00:00:21,00:14:33,00:53:38,Male
4,Vasco,Vilaca,POR,1999,7,00:08:53,00:01:04,00:28:48,00:00:22,00:14:33,00:53:38,Male
5,Lasse Nygaard,Priester,GER,1995,6,00:08:57,00:01:04,00:28:46,00:00:20,00:14:37,00:53:42,Male
6,Miguel,Hidalgo,BRA,2000,30,00:08:43,00:01:08,00:28:54,00:00:18,00:14:52,00:53:53,Male
7,Richard,Murray,NED,1989,55,00:09:02,00:01:04,00:28:40,00:00:23,00:14:50,00:53:57,Male
8,Jelle,Geens,BEL,1993,9,00:08:52,00:01:03,00:28:51,00:00:21,00:14:53,00:53:59,Male
9,Antonio,Serrat Seoane,ESP,1995,2,00:08:57,00:01:09,00:28:39,00:00:21,00:14:56,00:54:00,Male
10,Vincent,Luis,FRA,1989,11,00:08:43,00:01:03,00:28:29,00:00:31,00:15:16,00:54:01,Male
11,Joao,Silva,POR,1989,47,00:08:58,00:01:01,00:28:49,00:00:21,00:14:55,00:54:03,Male
12,Marten,Van Riel,BEL,1992,27,00:08:53,00:01:04,00:28:50,00:00:19,00:15:05,00:54:09,Male
13,Pierre,Le Corre,FRA,1990,3,00:08:46,00:01:03,00:28:58,00:00:26,00:15:00,00:54:12,Male
14,Michele,Sarzilla,ITA,1988,36,00:08:49,00:01:06,00:28:52,00:00:22,00:15:08,00:54:15,Male
15,Csongor,Lehmann,HUN,1999,34,00:08:57,00:01:03,00:28:46,00:00:19,00:15:13,00:54:16,Male
16,Matthew,McElroy,USA,1992,29,00:09:09,00:01:07,00:29:07,00:00:20,00:14:37,00:54:18,Male
17,Sylvain,Fridelance,SUI,1995,32,00:08:56,00:01:05,00:28:48,00:00:22,00:15:13,00:54:21,Male
18,Jonas,Schomburg,GER,1994,24,00:08:55,00:01:03,00:28:46,00:00:17,00:15:23,00:54:22,Male
19,Kenji,Nener,JPN,1993,19,00:08:48,00:01:02,00:28:56,00:00:20,00:15:20,00:54:24,Male
20,Tim,Hellwig,GER,1999,5,00:08:48,00:01:06,00:28:52,00:00:30,00:15:13,00:54:28,Male
21,Jacob,Birtwhistle,AUS,1995,31,00:09:06,00:01:05,00:29:09,00:00:21,00:14:53,00:54:33,Male
22,Ricardo,Batista,POR,2000,21,00:08:54,00:01:00,00:28:53,00:00:21,00:15:29,00:54:35,Male
23,Jamie,Riddle,RSA,2000,46,00:08:45,00:01:05,00:28:56,00:00:23,00:15:29,00:54:35,Male
24,Bence,Bicsák,HUN,1995,8,00:08:56,00:01:14,00:29:11,00:00:19,00:14:58,00:54:36,Male
25,Noah,Servais,BEL,1997,33,00:09:01,00:01:02,00:28:44,00:00:20,00:15:31,00:54:37,Male
26,Matthew,Hauser,AUS,1998,14,00:08:56,00:01:10,00:29:14,00:00:18,00:15:03,00:54:38,Male
27,Márk,Dévay,HUN,1996,16,00:08:42,00:01:12,00:28:53,00:00:22,00:15:35,00:54:42,Male
28,Jumpei,Furuya,JPN,1991,43,00:08:58,00:01:03,00:28:47,00:00:22,00:15:35,00:54:43,Male
29,Tayler,Reid,NZL,1996,48,00:08:46,00:01:04,00:28:56,00:00:21,00:15:40,00:54:45,Male
30,Takumi,Hojo,JPN,1996,12,00:08:58,00:01:09,00:29:15,00:00:20,00:15:06,00:54:46,Male
31,Tom,Richard,FRA,1993,18,00:08:45,00:01:04,00:28:59,00:00:22,00:15:46,00:54:54,Male
32,Brandon,Copeland,AUS,1996,22,00:08:54,00:01:07,00:29:20,00:00:19,00:15:22,00:55:00,Male
33,Thomas,Bishop,GBR,1991,56,00:09:01,00:01:09,00:29:13,00:00:21,00:15:24,00:55:07,Male
34,Aaron,Royle,AUS,1990,44,00:09:01,00:01:08,00:29:13,00:00:20,00:15:45,00:55:25,Male
35,Vetle Bergsvik,Thorn,NOR,1999,15,00:09:06,00:01:03,00:29:13,00:00:23,00:15:46,00:55:30,Male
36,Ren,Sato,JPN,1995,45,00:09:09,00:01:05,00:29:10,00:00:24,00:15:47,00:55:33,Male
37,Jawad,Abdelmoula,MAR,1994,50,00:09:01,00:01:05,00:30:07,00:00:21,00:15:07,00:55:40,Male
38,Alois,Knabl,AUT,1992,39,00:08:46,00:01:09,00:28:54,00:00:23,00:16:29,00:55:40,Male
39,Roberto,Sanchez Mantecon,ESP,1996,20,00:09:08,00:01:10,00:29:52,00:00:18,00:15:25,00:55:51,Male
40,Grant,Sheldon,GBR,1994,54,00:09:02,00:01:11,00:30:00,00:00:21,00:15:29,00:56:01,Male
41,Gianluca,Pozzatti,ITA,1993,38,00:08:50,00:01:10,00:29:25,00:00:22,00:16:24,00:56:08,Male
42,Seth,Rider,USA,1997,37,00:08:59,00:01:10,00:29:13,00:00:21,00:16:29,00:56:10,Male
43,Makoto,Odakura,JPN,1993,23,00:09:03,00:01:10,00:30:00,00:00:25,00:15:43,00:56:19,Male
44,Genis,Grau,ESP,1994,53,00:09:04,00:01:05,00:30:03,00:00:20,00:16:01,00:56:31,Male
45,Gabriel,Sandör,SWE,1996,26,00:09:06,00:01:14,00:29:51,00:00:22,00:16:01,00:56:33,Male
46,Luke,Willian,AUS,1996,41,00:09:05,00:01:13,00:29:54,00:00:21,00:16:26,00:56:55,Male
47,Valentin,Wernz,GER,1995,35,00:08:50,00:01:03,00:30:20,00:00:21,00:16:56,00:57:28,Male
48,Gustav,Iden,NOR,1996,52,00:09:09,00:01:11,00:31:04,00:00:26,00:16:23,00:58:11,Male
DNF,Marc,Dubrick,USA,1994,57,00:09:06,00:01:08,00:00:00,00:00:00,00:00:00,DNF,Male
DNF,Jonathan,Brownlee,GBR,1990,49,00:08:54,00:01:04,00:00:00,00:00:00,00:00:00,DNF,Male
1,Pierre,Le Corre,FRA,1990,18,00:08:59,00:00:46,00:29:14,00:00:32,00:14:37,00:54:06,Male
2,Léo,Bergere,FRA,1996,3,00:08:53,00:00:40,00:29:15,00:00:34,00:14:46,00:54:06,Male
3,Hayden,Wilde,NZL,1997,2,00:09:02,00:00:39,00:29:18,00:00:30,00:14:55,00:54:21,Male
4,Vasco,Vilaca,POR,1999,1,00:09:02,00:00:43,00:29:15,00:00:36,00:14:51,00:54:25,Male
5,Richard,Murray,NED,1989,34,00:09:06,00:00:40,00:29:16,00:00:37,00:14:50,00:54:27,Male
6,Henri,Schoeman,RSA,1991,15,00:09:02,00:00:46,00:29:13,00:00:34,00:14:56,00:54:28,Male
7,Tom,Richard,FRA,1993,24,00:08:54,00:00:44,00:29:24,00:00:33,00:14:58,00:54:30,Male
8,Barclay,Izzard,GBR,1998,29,00:09:01,00:00:38,00:29:22,00:00:33,00:15:01,00:54:32,Male
9,Antonio,Serrat Seoane,ESP,1995,10,00:08:57,00:00:46,00:29:19,00:00:39,00:14:59,00:54:39,Male
10,Ricardo,Batista,POR,2000,47,00:08:56,00:00:42,00:29:11,00:00:41,00:15:12,00:54:40,Male
11,Valentin,Wernz,GER,1995,14,00:08:59,00:00:40,00:29:18,00:00:33,00:15:12,00:54:41,Male
12,Dylan,McCullough,NZL,2001,16,00:08:56,00:00:41,00:29:21,00:00:35,00:15:14,00:54:44,Male
13,Sergio,Baxter Cabrera,ESP,2000,52,00:08:58,00:00:49,00:29:12,00:00:34,00:15:17,00:54:48,Male
14,Emil,Holm,DEN,1996,35,00:09:04,00:00:42,00:29:13,00:00:34,00:15:18,00:54:49,Male
15,Kenji,Nener,JPN,1993,5,00:08:54,00:00:40,00:29:27,00:00:36,00:15:16,00:54:51,Male
16,Vetle Bergsvik,Thorn,NOR,1999,22,00:09:01,00:00:45,00:29:17,00:00:36,00:15:18,00:54:55,Male
17,Lasse,Lührs,GER,1996,17,00:08:58,00:00:41,00:29:19,00:00:35,00:15:24,00:54:56,Male
18,Tayler,Reid,NZL,1996,12,00:08:57,00:00:39,00:29:13,00:00:36,00:15:37,00:54:59,Male
19,Adrien,Briffod,SUI,1994,4,00:09:08,00:00:44,00:29:10,00:00:36,00:15:26,00:55:02,Male
20,Jack,Willis,GBR,1997,45,00:09:00,00:00:42,00:29:18,00:00:33,00:15:34,00:55:04,Male
21,Jonas,Schomburg,GER,1994,7,00:08:52,00:00:39,00:29:29,00:00:34,00:15:35,00:55:07,Male
22,Ren,Sato,JPN,1995,41,00:09:00,00:00:42,00:29:21,00:00:36,00:15:34,00:55:12,Male
23,Charles,Paquet,CAN,1997,20,00:08:59,00:00:43,00:29:19,00:00:38,00:15:36,00:55:13,Male
24,Arnaud,Mengal,BEL,1997,31,00:09:05,00:00:45,00:29:15,00:00:38,00:15:37,00:55:19,Male
25,Stefan,Zachäus,LUX,1990,59,00:09:05,00:00:42,00:29:15,00:00:35,00:15:51,00:55:25,Male
26,Tjebbe,Kaindl,AUT,1999,43,00:08:55,00:00:40,00:29:27,00:00:39,00:15:54,00:55:33,Male
27,Simon,Westermann,SUI,1998,36,00:08:59,00:00:43,00:29:18,00:00:33,00:16:04,00:55:36,Male
28,Márk,Dévay,HUN,1996,23,00:08:52,00:00:42,00:29:26,00:00:36,00:16:05,00:55:39,Male
29,Max,Studer,SUI,1996,11,00:09:07,00:00:46,00:30:01,00:00:35,00:15:16,00:55:43,Male
30,Tyler,Smith,BER,1998,56,00:08:59,00:00:46,00:29:16,00:00:42,00:16:02,00:55:44,Male
31,Max,Stapley,GBR,1999,55,00:08:53,00:00:45,00:29:23,00:00:35,00:16:24,00:55:59,Male
32,Tim,Hellwig,GER,1999,9,00:09:05,00:00:47,00:29:06,00:00:35,00:16:46,00:56:16,Male
33,Saxon,Morgan,NZL,2000,39,00:08:59,00:00:42,00:29:22,00:00:39,00:16:40,00:56:20,Male
34,Casper,Stornes,NOR,1997,60,00:09:02,00:00:50,00:29:11,00:00:36,00:16:54,00:56:32,Male
35,Brandon,Copeland,AUS,1996,28,00:09:04,00:00:40,00:29:20,00:00:35,00:16:59,00:56:37,Male
36,Johannes,Vogel,GER,1996,27,00:08:55,00:00:45,00:29:24,00:00:38,00:17:11,00:56:51,Male
37,Shachar,Sagiv,ISR,1994,40,00:09:12,00:00:38,00:31:16,00:00:36,00:15:28,00:57:07,Male
38,Chase,McQueen,USA,1998,48,00:08:48,00:00:42,00:30:33,00:00:35,00:16:56,00:57:32,Male
39,Luke,Willian,AUS,1996,25,00:09:05,00:00:52,00:31:12,00:00:38,00:16:06,00:57:50,Male
40,Manoel,Messias,BRA,1996,6,00:09:17,00:00:40,00:31:49,00:00:35,00:15:36,00:57:55,Male
41,Gábor,Faldum,HUN,1988,32,00:09:03,00:00:44,00:31:20,00:00:39,00:16:15,00:58:00,Male
42,Brock,Hoel,CAN,2001,49,00:08:52,00:00:48,00:31:20,00:00:36,00:16:30,00:58:04,Male
43,Darr,Smith,USA,1998,50,00:09:13,00:00:42,00:31:51,00:00:34,00:15:53,00:58:11,Male
44,Antonio,Bravo Neto,BRA,1999,51,00:09:07,00:00:47,00:31:54,00:00:33,00:15:56,00:58:16,Male
45,Alberto,Gonzalez Garcia,ESP,1998,44,00:08:57,00:01:12,00:31:35,00:00:32,00:16:11,00:58:25,Male
46,Donald,Hillebregt,NED,1992,58,00:09:07,00:00:48,00:31:14,00:00:44,00:16:37,00:58:28,Male
47,Sylvain,Fridelance,SUI,1995,21,00:09:00,00:00:41,00:30:50,00:00:37,00:17:46,00:58:52,Male
48,Diego,Moya,CHI,1998,33,00:08:49,00:00:40,00:31:40,00:00:36,00:17:16,00:58:59,Male
